Store Name,Products,Data range: rows 21k-25k,Date Range Start,4/2/2020,Date Range End,4/12/2020,Formula,"Formula: IFERROR(TRANSPOSE(UNIQUE( FILTER( 'Auto Import'!$D$21000:$D$25000, 'Auto Import'!$A$21000:$A$25000 = A9, 'Auto Import'!$B$21000:$B$25000 > $E$1, 'Auto Import'!$B$21000:$B$25000 < $G$1 ) ) ))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & S Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambo Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anacostia Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bodega Market (Florida Avenue),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Blair Gas Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookland Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookland Supermarket and Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Mart Inc,Banana,"Avocado, Hass","Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Strawberries, Fresh Cut","Pineapple, Fresh Cut","Orange, Large","Pepper, Green","Potato, Baking Idaho","Tomato, Slicer",Lemon,Lime,"Onion, Red","Onion, Yellow","Apple, Golden Delicious","Apple, Red Delicious","Garlic, Loose",,,,,,,,,,,,,,,,,,,,
Kwik Stop,"Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut","Trail Mix, Healthy Corners","Apple, Golden Delicious","Apple, Red Delicious",Banana,Lemon,Lime,"Orange, Large","Avocado, Hass","Garlic, Loose","Onion, Green (scallion)","Onion, Red","Onion, Yellow","Pepper, Green","Potato, Baking Idaho",,,,,,,,,,,,,,,,,,,,,
Liff's Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 77,Lemon,Lime,"Tomato, Slicer",Banana,"Fruit, Fresh Cut Mixed","Orange, Large","Avocado, Hass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McKinley Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellon Market,"Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Strawberries, Fresh Cut","Watermelon, Fresh Cut","Apple, Golden Delicious",Lemon,"Mango, Organic","Orange, Large","Garlic, Loose","Onion, Yellow","Pepper, Green","Potato, Baking Idaho","Fruit, Fresh Cut Mixed","Mango, Fresh Cut","Pineapple, Fresh Cut",Banana,Lime,"Pear, Bartlett","Onion, Red","Grapes, Mix seedless, Fresh Cut","Avocado, Hass",,,,,,,,,,,,,,,,,,
Minnesota Food Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri Avenue Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nams Market,"Grapes, Mix seedless, Fresh Cut","Pineapple, Fresh Cut","Trail Mix, Healthy Corners","Mango, Organic",Banana,"Orange, Large",Strawberries,"Onion, Red","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neighborhood Market,Banana,Lemon,"Orange, Large",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
